,tconst,movie,link,runtime,genres,day,month,year,dist,gross_1995,gross_1996,gross_1997,gross_1998,gross_1999,gross_2000,gross_2001,gross_2002,gross_2003,gross_2004,gross_2005,gross_2006,gross_2007,gross_2008,gross_2009,gross_2010,gross_2011,gross_2012,gross_2013,gross_2014,gross_2015,gross_2016,gross_2017,gross_2018,gross_2019,gross_2020,tickets_1995,tickets_1996,tickets_1997,tickets_1998,tickets_1999,tickets_2000,tickets_2001,tickets_2002,tickets_2003,tickets_2004,tickets_2005,tickets_2006,tickets_2007,tickets_2008,tickets_2009,tickets_2010,tickets_2011,tickets_2012,tickets_2013,tickets_2014,tickets_2015,tickets_2016,tickets_2017,tickets_2018,tickets_2019,tickets_2020
100,tt0092099,Top Gun,/movie/Top-Gun,110,"Action,Drama",16,05,1986,Paramount Pictures,,,,,,,,,,,,,,,,,,,5418430.0,,,,,,,,,,,,,,,,,,,,,,,,,,666473.0,,,,,,,
101,tt0093512,Maurice,/movie/Maurice,140,"Drama,Romance",01,01,1987,,,,,,,,,,,,,,,,,,,,,,,,702674.0,,,,,,,,,,,,,,,,,,,,,,,,,,78336.0,,,
102,tt0094612,Action Jackson,/movie/Action-Jackson,96,"Action,Comedy,Crime",12,02,1988,Lorimar Motion Pi…,,,,,,,,,,,,,,,,,,,,171795.0,,,,,,,,,,,,,,,,,,,,,,,,,,21027.0,,,,,,
103,tt0094721,Beetle Juice,/movie/Beetlejuice,92,"Comedy,Fantasy",30,03,1988,Warner Bros.,,,,,,,,,,,,,,,,,,,,,,,,512947.0,,,,,,,,,,,,,,,,,,,,,,,,,,56306.0,,
104,tt0089537,Mala Noche,/movie/Mala-Noche,78,Drama,04,05,1988,Janus Films,,,,,,,,,,,,,11352.0,,,,,,,,,,,,,,,,,,,,,,,,,,1650.0,,,,,,,,,,,,,
105,tt0095016,Die Hard,/movie/Die-Hard,132,"Action,Thriller",15,07,1988,20th Century Fox,,,,,,,,,,,,,,,,,,,,,,,,,,1036063.0,,,,,,,,,,,,,,,,,,,,,,,,,,113107.0
106,tt0093713,Pelle the Conqueror,/movie/Pelle-erobreren,157,Drama,21,12,1988,Miramax,,,,,,,,,,,,,,,,,,,,,,,9597.0,,,,,,,,,,,,,,,,,,,,,,,,,,1069.0,,,
107,tt0097757,The Little Mermaid,/movie/Little-Mermaid-The,83,"Animation,Family,Fantasy",15,11,1989,Walt Disney,,,29678678.0,999528.0,,,,,,,,,,,,,,,,,,,,,,,,,6465942.0,213118.0,,,,,,,,,,,,,,,,,,,,,,
109,tt0100802,Total Recall,/movie/Total-Recall,113,"Action,Sci-Fi,Thriller",01,06,1990,Sony Pictures,,,,,,,,,,,,,,,,,,11299.0,,,,,,,,,,,,,,,,,,,,,,,,,,1419.0,,,,,,,,
110,tt0100142,Metropolitan,/movie/Metropolitan,98,"Comedy,Drama,Romance",03,08,1990,,,,,,,,,,,,,,,,,,,,,,22284.0,,,,,,,,,,,,,,,,,,,,,,,,,,2643.0,,,,,
111,tt0099674,The Godfather: Part III,/movie/Godfather-Part-III-The-(1990),162,"Crime,Drama",25,12,1990,Paramount Pictures,,,,,,,,,,,,,,,,,,,,,,,,,,58097.0,,,,,,,,,,,,,,,,,,,,,,,,,,6342.0
112,tt0099634,The Garden,/movie/Garden-The-(UK),92,Drama,31,12,1990,International Fil…,,,,,,,,,,,,,,,,,,,,,,,,,5006.0,,,,,,,,,,,,,,,,,,,,,,,,,,546.0,
113,tt0100332,Paris is Burning,/movie/Paris-is-Burning-(1991),71,Documentary,13,03,1991,Academy Entertain…,,,,,,,,,,,,,,,,,,,,,,,,,125677.0,,,,,,,,,,,,,,,,,,,,,,,,,,13720.0,
114,tt0103064,Terminator 2: Judgment Day,/movie/Terminator-2-Judgment-Day,137,"Action,Sci-Fi",02,07,1991,Sony Pictures,,,,,,,,,,,,,,,,,,,,,,,1605359.0,,,,,,,,,,,,,,,,,,,,,,,,,,178969.0,,,
115,tt0107756,Orlando,/movie/Orlando,94,"Biography,Drama,Fantasy",01,01,1992,Sony Pictures Cla…,,,,,,,,,,,,,,,,5367945.0,,,,,,,,,,,,,,,,,,,,,,,,,,680347.0,,,,,,,,,,
116,tt0104454,Howards End,/movie/Howards-End,142,"Drama,Romance",13,03,1992,Sony Pictures Cla…,,,,,,,,,,,,,,,,,,,,,,158317.0,,,,,,,,,,,,,,,,,,,,,,,,,,18302.0,,,,
